Length,"RS(N=255,k=223) perr=1.0e-02 c=1","RS(N=255,k=223) perr=1.0e-03 c=1","RS(N=255,k=223) perr=1.0e-02 c=3","RS(N=255,k=223) perr=1.0e-03 c=3","RS(N=255,k=223) perr=1.0e-02 c=10","RS(N=255,k=223) perr=1.0e-03 c=10"
50,-4.27902e+00,-1.00678e+01,-7.99229e+00,-2.30216e+01,-8.00197e+00,-2.31223e+01
75,-3.07968e+00,-6.88862e+00,-7.97025e+00,-2.28485e+01,-8.00197e+00,-2.31223e+01
100,-2.15013e+00,-4.68970e+00,-7.93078e+00,-2.26336e+01,-8.00197e+00,-2.31223e+01
125,-1.44389e+00,-3.13934e+00,-7.87367e+00,-2.24130e+01,-8.00197e+00,-2.31223e+01
150,-9.22716e-01,-2.04183e+00,-7.80188e+00,-2.21930e+01,-8.00197e+00,-2.31223e+01
175,-5.53615e-01,-1.27325e+00,-7.71948e+00,-2.19604e+01,-8.00197e+00,-2.31223e+01
200,-3.06686e-01,-7.49335e-01,-7.62949e+00,-2.16939e+01,-8.00197e+00,-2.31223e+01
225,-1.53806e-01,-4.08355e-01,-7.53267e+00,-2.13737e+01,-8.00197e+00,-2.31223e+01
250,-6.83687e-02,-2.01481e-01,-7.42747e+00,-2.09870e+01,-8.00197e+00,-2.31223e+01
275,-2.64165e-02,-8.78208e-02,-7.31076e+00,-2.05277e+01,-8.00197e+00,-2.31223e+01
300,-8.74754e-03,-3.30437e-02,-7.17895e+00,-1.99939e+01,-8.00197e+00,-2.31223e+01
325,-2.46636e-03,-1.05527e-02,-7.02894e+00,-1.93859e+01,-8.00197e+00,-2.31222e+01
350,-5.92326e-04,-2.83899e-03,-6.85859e+00,-1.87058e+01,-8.00196e+00,-2.31221e+01
375,-1.21735e-04,-6.44157e-04,-6.66679e+00,-1.79576e+01,-8.00194e+00,-2.31219e+01
400,-2.15443e-05,-1.24046e-04,-6.45318e+00,-1.71472e+01,-8.00191e+00,-2.31216e+01
425,-3.30400e-06,-2.04362e-05,-6.21794e+00,-1.62816e+01,-8.00186e+00,-2.31210e+01
450,-4.41575e-07,-2.90254e-06,-5.96171e+00,-1.53694e+01,-8.00177e+00,-2.31199e+01
475,-5.16836e-08,-3.57801e-07,-5.68548e+00,-1.44200e+01,-8.00162e+00,-2.31182e+01
500,-5.31958e-09,-3.84986e-08,-5.39067e+00,-1.34434e+01,-8.00138e+00,-2.31154e+01
525,-4.83117e-10,-3.63249e-09,-5.07906e+00,-1.24501e+01,-8.00100e+00,-2.31112e+01
550,-3.88209e-11,-3.01680e-10,-4.75280e+00,-1.14505e+01,-8.00042e+00,-2.31047e+01
575,-2.76589e-12,-2.21183e-11,-4.41442e+00,-1.04550e+01,-7.99956e+00,-2.30951e+01
600,-1.75000e-13,-1.43479e-12,-4.06674e+00,-9.47302e+00,-7.99828e+00,-2.30814e+01
625,-9.84286e-15,-8.24798e-14,-3.71292e+00,-8.51362e+00,-7.99644e+00,-2.30622e+01
650,-4.92413e-16,-4.20603e-15,-3.35638e+00,-7.58485e+00,-7.99381e+00,-2.30360e+01
675,-2.19131e-17,-1.90359e-16,-3.00076e+00,-6.69379e+00,-7.99012e+00,-2.30016e+01
700,-8.67171e-19,-7.64618e-18,-2.64986e+00,-5.84657e+00,-7.98504e+00,-2.29578e+01
725,-3.04938e-20,-2.72449e-19,-2.30761e+00,-5.04836e+00,-7.97815e+00,-2.29039e+01
750,-9.51766e-22,-8.60397e-21,-1.97799e+00,-4.30345e+00,-7.96895e+00,-2.28399e+01
775,-2.63271e-23,-2.40496e-22,-1.66493e+00,-3.61530e+00,-7.95690e+00,-2.27662e+01
800,-6.44167e-25,-5.93960e-24,-1.37226e+00,-2.98667e+00,-7.94137e+00,-2.26837e+01
825,-1.39099e-26,-1.29333e-25,-1.10357e+00,-2.41961e+00,-7.92176e+00,-2.25938e+01
850,-2.64372e-28,-2.47658e-27,-8.62073e-01,-1.91559e+00,-7.89748e+00,-2.24971e+01
875,-4.40896e-30,-4.15809e-29,-6.50466e-01,-1.47540e+00,-7.86804e+00,-2.23942e+01
900,-6.42939e-32,-6.10038e-31,-4.70700e-01,-1.09918e+00,-7.83309e+00,-2.22845e+01
925,-8.16614e-34,-7.79067e-33,-3.23726e-01,-7.86198e-01,-7.79243e+00,-2.21660e+01
950,-8.99457e-36,-8.62341e-35,-2.09218e-01,-5.34679e-01,-7.74597e+00,-2.20352e+01
975,-8.54985e-38,-8.23365e-37,-1.25291e-01,-3.41435e-01,-7.69367e+00,-2.18864e+01
1000,-6.97634e-40,-6.74549e-39,-6.83687e-02,-2.01481e-01,-7.63536e+00,-2.17121e+01
